,Occupation,Arm.Hand.Steadiness,Auditory.Attention,Category.Flexibility,Control.Precision,Deductive.Reasoning,Depth.Perception,Dynamic.Flexibility,Dynamic.Strength,Explosive.Strength,Extent.Flexibility,Far.Vision,Finger.Dexterity,Flexibility.of.Closure,Fluency.of.Ideas,Glare.Sensitivity,Gross.Body.Coordination,Gross.Body.Equilibrium,Hearing.Sensitivity,Inductive.Reasoning,Information.Ordering,Manual.Dexterity,Mathematical.Reasoning,Memorization,Multilimb.Coordination,Near.Vision,Night.Vision,Number.Facility,Oral.Comprehension,Oral.Expression,Originality,Perceptual.Speed,Peripheral.Vision,Problem.Sensitivity,Rate.Control,Reaction.Time,Response.Orientation,Selective.Attention,Sound.Localization,Spatial.Orientation,Speech.Clarity,Speech.Recognition,Speed.of.Closure,Speed.of.Limb.Movement,Stamina,Static.Strength,Time.Sharing,Trunk.Strength,Visual.Color.Discrimination,Visualization,Wrist.Finger.Speed,Written.Comprehension,Written.Expression,Administration.and.Management,Biology,Building.and.Construction,Chemistry,Clerical,Communications.and.Media,Computers.and.Electronics,Customer.and.Personal.Service,Design,Economics.and.Accounting,Education.and.Training,Engineering.and.Technology,English.Language,Fine.Arts,Food.Production,Foreign.Language,Geography,History.and.Archeology,Law.and.Government,MathematicsKnowledge,Mechanical,Medicine.and.Dentistry,Personnel.and.Human.Resources,Philosophy.and.Theology,Physics,Production.and.Processing,Psychology,Public.Safety.and.Security,Sales.and.Marketing,Sociology.and.Anthropology,Telecommunications,Therapy.and.Counseling,Transportation,Active.Learning,Active.Listening,Complex.Problem.Solving,Coordination,Critical.Thinking,Equipment.Maintenance,Equipment.Selection,Installation,Instructing,Judgment.and.Decision.Making,Learning.Strategies,Management.of.Financial.Resources,Management.of.Material.Resources,Management.of.Personnel.Resources,MathematicsSkill,Monitoring,Negotiation,Operation.and.Control,Operation.Monitoring,Operations.Analysis,Persuasion,Programming,Quality.Control.Analysis,Reading.Comprehension,Repairing,Science,Service.Orientation,Social.Perceptiveness,Speaking,Systems.Analysis,Systems.Evaluation,Technology.Design,Time.Management,Troubleshooting,Writing,Job.Zone,Career.Cluster,Career.Cluster.Abbrev
746,Public Relations and Fundraising Managers,0,1.5,3.38,0,4.12,0.88,0,0,0,0,2.88,1.62,2.75,4.12,0,0,0,1.5,3.75,3.62,0,3,2.75,0,4,0,3,4.5,4.75,4,2.38,0,4,0,0,0,2.88,0,0,4.38,3.88,2.75,0,0,0,2.75,1.12,2,2.75,0.62,4.12,4.62,4.48,0.15,0.22,0.55,4.24,4.84,2.88,5.86,0.41,2.94,4.02,0.51,4.91,2.27,0.12,0.6,1.22,1.49,2.74,3.9,0.08,0.86,3.74,2.13,0.26,0.77,3.27,1.69,5.47,3.25,1.11,1.54,1.01,3.5,4.12,3.88,3.88,4,0,0,0,3.38,4,3.12,3.25,2.62,3.62,2.62,3.88,3.62,0,0.75,2.12,4,0.62,1,4.25,0,0.62,3.5,4.25,4.5,3.62,3.5,0.62,3.75,0,4.38,4,Marketing,Marketing
747,Public Relations Specialists,0.25,1.62,3,0,3.88,0.5,0,0,0,0,2.38,2,2.38,3.75,0,0,0,1.75,3.88,3,0.12,2,2.25,0,3.75,0,2.25,4,4,3.75,2,0,3.88,0,0,0,2.88,0,0,4.12,3.88,2.25,0,0,0,2.5,0.12,1.88,2.25,0,4,4.12,4.25,0.62,0.42,0.5,4.33,5.5,3.67,4.88,2,2.46,3.62,1.08,5.33,1.96,0.33,1.33,2.83,1.96,2.71,3.08,0.62,0.58,2.96,2.29,0.42,1.58,2.62,1.96,5.21,3.71,1.5,1.42,1.54,3.62,4,3.38,4,4,0,0,0,3,4,3,1.38,1.5,3,1.88,3.25,3.38,0,0.75,2.75,3.62,0.5,0.5,4,0,0.25,3.25,4.12,4.12,3.25,3.25,1.38,4,0,3.88,4,Marketing,Marketing
748,"Pump Operators, Except Wellhead Pumpers",3,3.5,3.13,3.38,2.88,3,0.25,2.25,0,3.25,3.25,3,3,2.38,2.25,2.38,2.38,2.75,2.88,3.25,3.13,2.63,2.25,3,3.38,1.38,2.63,3.5,3.25,2.13,3.75,1.63,3.38,2.75,3.38,2.88,3.25,1.25,2,2.5,2.63,2.5,2.25,2.38,3,2.63,3,2.75,3.25,2.13,3,2.5,2.78,1.09,2.77,3.44,1.45,1.36,4.28,2.13,1.72,1.1,3.68,3.36,3.5,0,0.62,0.35,1.76,0.29,2.97,3.59,5.19,1.74,2.34,2.03,2.77,3.84,2.63,3.78,0.93,1.59,1.46,1.73,2.57,2.62,2.88,2.75,3,3.12,2.62,2,0.38,2.62,2.75,2.38,1.12,1.75,2.38,2.5,3.38,1.88,3.25,3.62,1.25,2.38,0.75,3,2.88,2.88,1,2,2.12,2.62,2.38,2.38,1.25,2.62,2.88,2.5,2,"Transportation, Distribution & Logistics",TransLog
749,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1,1.25,3.38,0.62,4.25,0.5,0,0,0,0,1.88,1.25,2.38,2.88,0,0,0,0.5,4,3.62,0.88,3.38,2.75,0,3.5,0,3.12,4.12,4.12,3,2.12,0,3.75,0,0,0,2.75,0,0.38,3.25,3.62,2.5,0,0,0,2.5,0.12,1.38,1.5,0,4.12,4,4.75,1.4,2.5,1.95,4.75,2.2,4.15,4.4,2.9,3.8,3.95,3.3,4.4,0.8,1.55,1.35,2.9,1.45,4.25,4.15,3.15,0.9,3.35,2.3,1.55,4.2,2.9,2.6,3.5,2.35,2,1.45,3.8,4.12,4,3.88,3.38,4.12,0,0.12,0,3.12,4.12,3.25,3.88,3,3.12,3.12,4,3.88,0,0.25,2.88,3.88,0.25,2.12,4.12,0,0.62,2.88,3.62,4.12,3,3.25,0.12,3.62,0.38,4,4,Manufacturing,Manu
750,Purchasing Managers,0,1.88,3.75,0,4,1,0,0,0,0,2.75,1,2.88,4,0,0,0,1.75,3.88,3.62,0,3.5,2.75,0,3.62,0,3.38,4.12,4.12,3.75,2.75,0,3.88,0,0,0,3,0,0,3.62,3.88,2.88,0,0,0,2.62,0.75,2,2.38,0.12,4.12,4.12,4.95,1.48,1.81,1.67,4.76,2.71,4.14,4.52,2.29,3.95,4.14,2.67,4.05,0.38,1.29,1.33,2.38,0.57,3.33,4.19,2.1,0.67,3.81,0.9,1.14,3.48,2,2.14,3.38,1.19,2.14,0.76,2.81,3.88,4,3.25,3.88,4,0,0,0,3.62,3.75,3.62,3.88,3.75,4,3.38,3.88,3.88,0,1.88,2.75,3.88,1.12,1.88,3.75,0,0.25,3.62,4,3.88,3.62,3.62,1.12,3.88,0.88,4,4,Business Management & Administration,BusinManAdmin
751,Quality Control Analysts,3,2.25,3.38,2.62,3.5,2.25,0,1.25,0,1.5,3.25,2.75,3.25,3.12,0,1.75,1.25,2.12,3.38,3.5,2.75,3.25,2.75,2.12,3.88,0,3,4,3.88,3,3.38,0,3.62,1.5,1.25,1.38,3.25,0,0.25,3.38,3.38,2.5,1.38,1.5,1.62,2.88,2,2.88,2.75,1.38,3.62,3.62,2.02,2.02,0.36,4.41,3.59,2.25,3.96,2.74,1.03,0.5,2.9,2.39,3.33,0,1.63,0.22,0.43,0.07,1.55,3.89,2.93,0.55,1.18,0.34,2.1,3.56,1.48,2.66,1.05,0.98,0.93,0.34,1.75,3.25,3.62,3.38,3,3.5,1.25,1.38,0.88,3.12,3,2.75,1.25,1.75,2.62,3.12,3.62,2.62,2.88,3.5,2.25,2.75,1.12,3.75,3.75,1.12,2.62,2.75,3.12,3.5,2.88,2.88,1.62,3.25,2.75,3.38,3,"Science, Technology, Engineering & Mathematics",SciEng
752,Quality Control Systems Managers,2.75,2.75,3.25,2.88,3.88,2.75,0,1.12,0,1.12,3.25,3,3.62,3.38,0,0.88,0.88,2.5,4,3.38,2.75,3.38,3.12,2,4,0,3.5,4.25,4,3.38,3.38,0,4.25,1.12,1.25,1.38,3.62,0,0.25,3.75,3.75,3,0,1.25,1.12,3.12,1.75,3.25,2.88,1.38,4.12,3.88,4.51,3.8,1.48,4.63,4.78,2.8,4.09,4.1,1.96,1.95,5.68,3.09,4.13,0,1.27,0.76,1.19,0.09,3.58,4.31,2.77,1.16,4.24,0.45,2.8,3.8,2.82,2.55,1.46,0.97,0.61,1.17,1.72,4,4.12,4,3.5,4.12,2.38,1.88,0.25,3.75,4.25,3.5,2.88,2.75,3.25,3.38,4.12,3.25,2.75,3.5,2.75,3.25,1.5,3.88,4,2.25,2.38,3.25,3.75,3.75,3.5,3.5,1.38,3.75,2.88,3.75,4,Business Management & Administration,BusinManAdmin
753,Radiation Therapists,3.5,2.12,3.5,3.12,3.88,2.25,0,1.88,0,2.25,3.12,3.25,3.12,3,0.75,2,1.5,2.12,3.25,3.88,3,3,2.88,3,3.75,1,2.88,4,4,2.62,3.12,0.88,3.88,2.25,2.88,2.88,3.12,1.62,1.38,3.5,3.5,2.75,2,1.75,2.88,2.88,2,2.75,2.88,1.88,4,3.38,2.51,3.63,0.38,2.46,3.22,1.7,4.17,5.3,1.02,0.83,4.13,2.18,3.99,0.16,0,1.47,0.59,0.33,1.82,3.84,2.54,4.1,2.32,2.63,3.86,0.98,4.38,2.39,0.65,2.4,1.26,3.89,1.4,3,3.88,3,3.12,3.75,2.75,2.62,0,3.38,3.12,3,1,1.38,2.88,2.88,3.38,2.5,3.5,3.38,2.62,2.75,1.12,3.38,3.88,2.12,3,3.25,3.62,3.5,2.75,2.75,1,3.25,2.75,3.25,3,Health Science,HealthSci
754,Radio and Television Announcers,1.62,2.38,3,2.12,3.75,1,0,0.62,0.62,0.88,2.38,1.75,1.75,3.25,0.62,0,0,1.5,3.38,3.25,1.75,1,3.75,1,3.25,0.62,1.12,4,4.12,3.62,2.12,0.62,3.38,1.5,1.5,1,3,0.88,0.88,4.5,3.88,3,0,0,0.62,3.12,1.5,1.88,1.62,0.75,4,3.88,3.38,0.83,0,0.63,3.13,5.33,4.77,4.63,1.75,1.34,2.73,2.41,5.21,3.05,0,1.27,3.17,2.16,2.8,2.93,0.46,0.76,1.88,2.31,0.89,1.75,2.74,2.29,3.48,2.95,3.85,1.6,1.49,3.25,4,3,3.5,3.88,0.62,0.75,0,2.12,3.12,2.38,0.62,0.62,2.12,1.25,3.38,2.88,1.75,2,1.25,2.88,0.38,1.62,3.88,0.62,0,3,3.75,4.38,2,2,0.62,3.12,0.75,4,4,"Arts, Audio/Video Technology & Communications",ArtAVComm
755,Radio Frequency Identification Device Specialists,2.5,2.12,3.62,2.62,4.25,1.38,0,0,0,1.25,2.75,2.38,2.88,3.38,0,0,0,2,3.75,3.75,2,3.12,2.12,0.62,4,0,3.25,4.12,3.88,3.12,2.5,0,3.5,0.88,1,0,2.88,0,0.25,3.38,3.5,2.12,0.12,0,0.25,2.12,2,2.25,3.12,1.62,4,3.75,4.19,0.59,1.74,1.38,3.64,3.43,6.16,4.68,4.73,1.73,4.44,5.36,4.02,0.17,0.37,0.88,2.19,0.17,1.8,4.32,1.89,0.48,2.25,0.75,3.27,3.72,1.63,2.01,3.71,0.84,3.85,0.68,2.13,3.5,3.62,3.62,3.38,3.88,2.25,2.62,2.25,3.5,3.38,3.25,1.62,1.88,2.75,3.38,3.75,2.75,2.25,2.88,3,3.38,2.62,3,4,2.25,1.88,2.88,3.12,3.62,3.5,3.5,3.12,2.88,3,3.62,4,"Science, Technology, Engineering & Mathematics",SciEng
756,Radio Mechanics,3.5,2.88,2.88,3,3.12,2.25,0,0.88,0.5,2.25,2.38,3.88,3.12,2.62,1.38,0.88,1.5,3,3.25,3.38,3.62,2.12,2.25,2.88,3.75,1,2,3.62,3.12,2.25,3.12,1,3.12,1.88,2.12,1.88,3,1.75,1.25,2.88,2.88,2.25,0.5,0.88,1.88,2.12,2.12,3.12,3.75,2,3.12,3,3.56,0.42,2.81,2.28,3.56,3.01,4.97,5.03,3.95,1.67,3.54,4.45,3.49,0.35,0.07,0.17,2.93,0.72,2.72,4.27,4.72,0.7,2.01,1.36,3.48,2.88,1.76,3.75,3.16,1.19,5.52,0.9,3.13,2.88,3,2.88,2.12,2.88,3,2.62,2.75,2.25,3,2.25,1,0.88,2.12,2,2.88,2.12,3,3.12,1.62,2.12,1.12,3.25,3.25,3.75,1.75,2.38,2.62,3,2.62,2.5,1.25,2.88,3.75,2.75,3,Manufacturing,Manu
757,Radio Operators,2.25,4,2.88,2.5,3.5,0.38,0.25,0,0,0.5,2,3.38,3.25,2.75,1.12,0,0,3.5,3.38,3.25,2.38,2,2.38,0,3.25,0,1.5,4,4,2.5,2.62,0,3.5,0,0.75,0.62,3.5,0.75,0,3.25,3.62,2.5,0,0.25,0,3,0.5,1.88,2.5,0.62,3.38,3.62,1.94,1.07,0.29,0.81,3.51,3.75,4.08,5.32,0.63,0.74,2.49,1.21,3.87,0.05,0.07,0.55,2.56,0.68,2.54,1.6,1.05,1.41,2.18,1.74,1.26,0.83,3.59,3.93,0.94,1.5,3.46,1.48,3.09,2.75,3.62,2.88,3.12,3.25,1.38,0.5,0.25,3,2.88,2.62,0,0,2.25,0.88,3.38,2.38,1.25,2.75,1.25,2.25,0.75,2.25,3.5,1.62,1.25,2.88,2.88,3.5,2,1.88,1.12,2.88,2.12,3.38,3,"Arts, Audio/Video Technology & Communications",ArtAVComm
758,"Radio, Cellular, and Tower Equipment Installers and Repairers",3,2.38,2.88,3.12,3.25,3,1,2.38,0.75,3.38,3.12,3.12,2.75,2.5,2.12,2.25,2.25,2.25,3.12,3.38,2.88,2.38,2.38,3.12,3.38,1.12,2.38,3.75,3.62,2.5,2.75,1.38,3.38,1.5,2.25,2.25,3,1.38,2.12,2.5,2.62,2.12,1.75,2.5,3.12,2.25,3.12,2.88,3.5,1.62,3.38,2.88,4.4,0.28,3.55,2.11,4.1,3.24,5.14,4.23,3.21,2.25,3.84,4.74,4.17,0,0.39,0.47,2.44,0.53,2.66,4.18,4.84,0.74,3.24,0,3.42,3.46,1.48,3.4,2.59,0.91,5.59,0.72,3.01,2.75,2.88,2.62,3.38,3.12,3.38,3,3.5,2.88,2.75,2.38,0.62,1.12,2.62,3,3.12,1.88,2.62,3.12,0.25,2.25,1.25,3.5,3.38,3.62,0.88,2.25,2.25,3,2.62,2.62,1,2.62,3.75,2.75,3,Manufacturing,Manu
759,Radiologic Technicians,3,1.62,3.25,3.12,3.25,2.12,0,2.25,1.25,2.88,3,3,3.12,2.88,0,2.25,1.62,2,3.25,3.75,2.75,2.25,2.25,3,3.75,0,2.25,4,4,2.88,3,0,3.62,1.5,2.12,2.12,2.88,0,0.12,3.38,3.38,2.25,1.5,2.25,2.88,2.62,3,2.62,3.12,1.5,3.75,3.12,2.18,2.32,0.19,2.09,3.17,1.75,3.52,4.99,0.73,0.98,3.65,1.36,3.88,0.34,0,1.47,0.53,0.34,1.73,2.86,1.5,3.97,1.38,0.89,2.75,1.4,3.28,2.82,1.14,1.54,1.4,2.38,1.09,3.12,3.75,2.88,3.12,3.12,0.38,1.12,0,3,3,2.88,0.62,0.88,2.75,2.25,3.25,2.25,3.25,3.12,1.12,2.62,0.5,2.75,3.88,0,2.62,3.12,3.38,3.62,1.88,2,1,2.88,2,3,3,Health Science,HealthSci
760,Radiologic Technologists,3.12,2.12,3.12,3.12,3.5,2,0.25,2.38,0.62,3,2.88,3.12,3.12,2.88,0.5,2.12,1.62,2.12,3.38,3.12,2.88,2.12,2,2.75,3.88,0.75,2.25,4,4,2.75,3.12,0.5,4,2.25,2.25,2.12,3.12,0.5,0.38,3.25,3.12,2.38,1.62,2.25,3,2.75,3,2.88,2.75,1.75,4,3.62,2.82,3.44,0.45,2.47,4.04,2.38,4.3,5.8,0.88,1.53,3.59,2.23,3.85,0.24,0.07,1.74,0.97,1.05,1.98,3.59,3.03,3.78,2.34,2.22,3.28,2.26,4.12,2.86,1.3,2.39,1.61,2.27,0.97,3,3.88,2.88,3.38,3.62,0.88,0.5,0,3,3,2.75,1,0.88,2.62,2.25,3.25,2.25,3,3,0.5,2.62,0.75,2.25,3.88,0.5,1.75,3,3.38,3.88,2.25,2.25,0.88,3.12,1.62,3.5,3,Health Science,HealthSci
761,Radiologists,3,1.62,3.75,3.12,4.38,1.62,0,1.25,0,1.38,3.25,3.12,4.25,3.38,0,1.12,1,2.5,4.5,4,2.5,3.5,3,2.12,4.75,0,3.12,4.75,4.5,3.25,3.25,0,4.88,1.75,1.88,1.38,3.5,0,0,3.88,3.75,3.5,0,1,1.38,2.88,1.5,3.25,3.38,1.75,4.75,4.5,3.57,5.08,1.3,3.61,3.42,2.5,4.26,4.52,2.43,2.64,4.9,3.29,5.43,0.57,0.41,1.64,1.8,0.75,3.08,3.78,1.59,6.24,3.51,1.64,4.08,3.09,4.46,3.93,2.83,2.62,2.44,3.52,1.18,4,4.12,4,3.38,4.5,0,0.88,0,4.38,4.25,3.75,2,2.38,3.38,2.88,4.12,3.25,2.62,3.5,0.75,3.25,1,2.75,5,0,3.5,3.5,3.88,4,3.5,3.25,1.38,3.5,1.75,4.38,5,Health Science,HealthSci
762,Rail Car Repairers,3.63,3.5,2.63,3.63,3.13,3.25,0.13,3,0.38,4.13,3,3.63,3,2.38,2.38,3,2.75,3,2.88,3.13,3.5,1.75,2.25,3.63,3.5,1.75,2.13,3.13,2.75,2.38,2.75,1.75,3,2.38,3.5,2.88,3.25,2,2,2.5,2.25,2.63,2.75,3.13,3.63,2.5,3.75,3.63,3.63,2.5,2.88,2.38,2.17,0.02,1.85,1.68,1.41,1,0.5,2.45,1.71,0.39,2.64,2.06,1.8,0.02,0.39,0.61,0.48,0.25,1.56,2.41,4.82,0.15,1.32,0.46,1.69,2.75,2.09,3.3,0.82,1.27,1.1,0.38,1.59,2.5,2.62,2.5,2.75,3.38,3.38,2.25,2.25,2.25,2.75,2.25,1.25,1.38,2.12,2.25,2.75,2,3.25,3.38,0.88,2,0,3.25,2.62,3.88,1.12,2,2.12,2.38,2,2.12,1.12,2.62,3.62,2.5,2,"Transportation, Distribution & Logistics",TransLog
763,"Rail Yard Engineers, Dinkey Operators, and Hostlers",2.63,3.75,2.75,3.75,3.13,3.13,0,2.25,0.13,3.25,4,2.38,2.88,2.13,2.5,2.75,2.75,3,3.13,3.13,2.88,1.75,1.88,3.5,3.25,1.63,2,3.63,3.75,2.13,3,2.25,3.5,3.25,3.88,3.75,3.25,2.38,2.88,3.13,2.88,2.5,2.5,2.13,2.75,3,3,3.25,2.88,2.13,2.88,2.38,2.36,0.13,0.4,1.28,1.98,1.21,2.22,2.67,0.53,0.95,3.57,1.69,3.67,0.18,0.35,0.08,1.34,0.45,2.67,1.9,2.77,1.12,2.59,0.45,1,2.21,1.8,3.64,1.1,0.39,3.04,1.43,4.61,2.62,2.88,3,3.12,2.88,2.38,2.12,0.62,2.88,2.62,2.5,0.88,1,2.25,2,3.12,1.75,3.62,3.5,0.62,1.88,0,2.88,2.88,2.5,0.25,2.25,2.25,2.62,1.88,2.12,0.62,3,2.62,2.38,2,"Transportation, Distribution & Logistics",TransLog
764,Rail-Track Laying and Maintenance Equipment Operators,3,3.12,2.62,4,3,3.38,0.25,3.25,1.38,3.25,3.75,2.88,3.38,2.12,2.88,3,2.38,2.88,2.88,2.88,3.12,1.5,1.88,4,3,1.75,1.88,3.25,3,2.12,3.12,2,3,3.12,3.62,3.25,3.12,1.38,2.38,2.38,2.25,2.38,2.75,2.88,3.75,2.88,3.5,2.62,3.5,2.38,2.75,2.25,2.85,1.1,4.45,2.24,1.78,1.24,1.52,2.96,2.51,1.47,2.92,3.68,2.16,0.35,0.36,0.8,2.3,0.57,1.61,3.28,4.31,0.88,1.85,0.65,2.84,2.79,1.73,3.03,1.37,0.68,1.76,1.04,3.29,2.38,2.75,2.38,3.12,3,3,2.25,0.5,2.62,2.75,2.25,0.75,1,2.12,2,2.88,1.75,3.12,3.25,0.75,1.88,0,3,2.25,3,0.25,1.88,2,2.25,2.12,2,0.75,2.75,3,2.12,2,"Transportation, Distribution & Logistics",TransLog
765,"Railroad Brake, Signal, and Switch Operators",2.63,3.5,2.63,3.63,2.75,2.88,0.13,2.38,0.38,3.63,4,3,2.75,2,2.75,3,3,2.75,2.75,2.75,3,1.63,1.63,3.25,3.13,1.75,1.75,3.38,3.38,2.13,3,1.75,3.38,3.13,3.5,3.25,3.25,1.88,2.13,2.38,2.38,2.38,2.38,2.5,3,3,3.13,2.88,3.13,2,2.88,2.25,2.61,0.35,0.57,1,2.36,0.91,1.67,3.3,0.67,0.65,3.27,1.98,2.53,0.04,0.04,0.11,0.86,0.08,2.63,1.95,3.49,0.72,1.92,0.4,1.42,1.66,2.4,3.64,0.92,0.75,1.81,0.8,4.26,2.38,2.5,2.62,3,2.75,1.38,1.25,0.12,2.62,2.62,2.5,0.88,1.25,2.25,1.88,3,1.75,3.25,3.25,0.75,2.12,0,2.62,2.75,1.62,0.25,2.25,2.12,2.25,2,1.88,0.88,2.75,2.75,2.5,2,"Transportation, Distribution & Logistics",TransLog
766,Railroad Conductors and Yardmasters,2.88,3.88,3.12,3.12,3.75,3,0,1.62,0,2.75,3.88,2.75,3,2.75,2.62,2.38,2.5,2.88,3.12,3.75,2.62,2.12,2,2.88,3.5,1.75,2.25,4,4,2.75,3.12,2.12,3.75,2.88,3.5,2.62,3.25,1.62,2.25,3.5,3.12,2.38,2,2.38,2.5,2.88,2.62,2.75,3.38,1.75,3,3,2.28,1.1,0.98,2.64,1.83,1.67,2.91,3.17,1.1,0.91,3.48,1.79,2.93,0.57,0.81,0.61,1.84,1.16,2.62,2.31,3.24,1.17,1.88,1.13,2.25,1.84,2.73,4.01,1.28,1.26,2.1,1.8,4.13,3,3.12,3.38,3.88,3.62,0.12,0,0,3,3,2.75,0.75,0.88,3.5,2.62,4,2.12,3.12,3.12,1.62,3,0.5,3,3.25,0,0.5,2.62,3,3.12,3,3,0.38,3.5,2.12,2.88,2,"Transportation, Distribution & Logistics",TransLog
767,Range Managers,1.88,2.25,3.63,2.88,4.13,2.88,0.13,1.75,0,1.38,3.5,2,2.75,3.75,1.75,1.75,1.13,2.13,3.88,3.38,1.88,2.88,1.88,3.13,3.38,1.25,3.13,4.13,4.38,3.75,2.25,1.38,4.25,1.63,1.63,2.13,3.13,1.25,2,3.25,3.25,2.38,1.13,1.63,2.25,2.63,2.13,2.75,3.25,0.88,4.38,4.25,3.79,4.63,3.13,3.27,3.84,2.62,4.08,5.03,3.13,2.26,4,3.91,4.13,0.16,3.69,0.63,4.86,3.52,4.41,3.64,3.57,0.21,3.38,1.1,3.25,2.14,3.09,3.4,1.86,2.34,2.32,0.93,2.15,3.62,4,4.12,3.75,3.88,0,0,0,3.12,3.75,2.62,1.88,2.38,3.12,3.5,4,3.75,2.75,2.38,3.25,3.38,1,2.75,4.12,0,3.75,3.5,3.25,4,3.75,3.25,1.75,2.88,1.62,3.75,4,"Science, Technology, Engineering & Mathematics",SciEng
768,Real Estate Brokers,0.12,1,2.5,0.62,4,1.38,0,0,0,0,2.38,0.25,2.12,2.62,0,0,0,0.62,3.12,3,0.12,2.75,2,0.38,4.12,0,2.12,4,4,2.62,2,0,3.5,0,0.12,0.12,2,0,0.5,3.25,3.75,1.25,0,0,0,2.12,1.75,0.75,1.5,0.88,4,3.62,4.3,0.27,3.12,1.37,4.52,3.04,4.16,5.35,2.42,3.55,4.26,1.26,4.28,0.51,0.04,1.82,3.45,0.72,4.22,3.38,1.59,0.06,2.92,1.9,0.56,1.21,3.49,2.49,4.89,2.65,1.85,0.58,1.66,3.75,4,2.88,2.88,3.88,0,0,0,2.25,4,2,2,0.88,2.75,3,3.38,4,1,0.75,1,4,0.5,2.25,4.12,0,0.12,3.25,3.12,4,2.25,2.38,0.38,3,0.62,3.5,4,Marketing,Marketing
769,Real Estate Sales Agents,1.12,1.75,3.12,1.88,3.75,2.12,0,0,0,0,3.5,2,3,3.25,1.12,0.12,0,2.12,3.25,3.38,1.12,2.88,2.62,1.88,4.25,1.25,3.38,4,4.12,2.62,2.88,1,3.5,1,1.62,1.25,2.5,1.25,1.75,3.25,3.88,2.5,1,0,0,2.5,1.75,2.75,2.88,0.12,4,3.38,3.36,0.44,2.54,0.56,3.82,2.68,4.18,5.5,1.71,2.75,3,0.46,4,0.29,0.14,1.21,2.32,1.04,3.75,3.89,1.19,0.32,2.32,2.07,0.3,0.68,3.37,2.07,5.18,2.25,1.32,1.04,1.79,3.38,3.88,3.12,3.62,3.88,0,0,0,2.88,3.75,2.62,1.62,1.38,2.5,3,2.88,4,1.5,1.62,2.12,4.12,0.75,2.25,4,0,0.38,3.62,3.5,3.88,2.62,3.25,0.5,3.12,1.25,3.5,3,Marketing,Marketing
770,Receptionists and Information Clerks,1.62,1.62,2.75,1.25,2.88,0.25,0,0,0,0,2.62,2.12,2.5,2.5,0,0,0,1.88,2.88,3,1.62,2.25,2.38,1.25,3.25,0,2.25,3.5,3.62,2.38,2.5,0,2.88,0,0,0,2.75,0,0,3.12,3.62,2,0,0,0.75,2.5,0.5,2,2.12,0.25,3.25,3.25,2.25,0.28,0.13,0.58,4.68,1.85,3.41,4.11,0.14,1.25,1.58,0.36,3.59,0.03,0,0.39,0.66,0.18,1.29,2.06,0.49,1.44,1.76,1.09,0.32,0.77,1.52,1.68,1.11,1.11,1.4,1.16,0.81,2.38,3.38,2.75,2.75,3.12,0,0,0,2.38,2.12,2.38,0.88,0.5,2.12,2.12,2.5,2.5,0,0.38,0.25,2.62,0.38,1.25,3.25,0,0,3.12,2.88,3,2.12,2,0.5,2.75,0.38,3.12,2,Business Management & Administration,BusinManAdmin
771,"Recreation and Fitness Studies Teachers, Postsecondary",1.12,1.75,3.25,0.75,3.75,1.62,0,1,0,1.38,2.75,1.38,2.25,3,0,0.5,0.5,1,3.75,3.5,0.5,2.5,2.88,1.25,3.75,0,2.12,4.62,4.75,3.25,2.12,0,3.25,0,0,0,2.62,0.25,0,4.5,3.12,2.25,0,1.62,1.25,2.5,1.62,1.5,2,0,4.62,4.25,2.9,3.67,0.24,2.49,2.6,3.43,3.58,3.84,1.05,0.95,6.21,0.67,5.27,1.01,0.93,1.3,0.97,1.97,2.67,3.18,1,3.22,2.51,2.87,2.13,0.94,4.15,2.93,1.49,3.58,1.1,3.71,1.33,4,4,3.38,3.25,4,0,0,0,4.12,3.75,4.12,0.88,0.88,2.88,2.5,4,2.88,0.12,0.75,2.88,3,0.12,0.62,4.38,0,2.88,3.12,3.75,4.12,3,3.12,0.62,3.38,0.5,4.38,5,Education & Training,EduTrain
772,Recreation Workers,2,2,3,1.12,3.25,1.75,0.12,2,1,2.12,3,2,2.5,3.12,0.25,2.88,1.88,1.88,3,3,0.75,2,2,1.88,3.25,0,2.12,4,4,3.5,2.25,0,3.12,0,0.88,0.62,3,0,0,3.25,3.12,2.62,1,2.75,2.12,2.88,2.62,1.62,2.5,0.62,3.25,3.12,3.3,0.69,0.27,0.75,3.57,2.37,3.5,4.2,1.08,1.38,4.7,0.81,4.23,1.98,0.53,0.59,1.44,1.88,2.8,3.14,1.57,1.08,2.35,3.51,0.42,1.54,4.3,4.22,1.82,2.64,1.83,3.89,2.28,3.12,4,3,4,3.62,0,0.38,0,3.38,3,3.12,2.12,2.38,3.38,2,3.38,2.88,0.75,1.75,1.88,3.12,0.38,1.5,3.25,0,0.62,3.75,4,4,2.75,2.75,1,3.12,0.88,3.12,4,Hospitality & Tourism,HospTour
